,CVCL_1805,CVCL_1859,CVCL_1170,CVCL_2016,CVCL_2017,CVCL_2889,CVCL_2022,CVCL_1240,CVCL_1280,CVCL_0337,CVCL_0065,CVCL_1324,CVCL_2541,CVCL_2976,CVCL_4965,CVCL_2098,CVCL_1380,CVCL_H631,CVCL_H637,CVCL_0013,CVCL_2127,CVCL_3032,CVCL_2633,CVCL_2142,CVCL_8461,CVCL_0466,CVCL_8797,CVCL_1913,CVCL_5363,CVCL_RL84,CVCL_A673,CVCL_0538,CVCL_2209,CVCL_2210,CVCL_9973,CVCL_L177,CVCL_A1EY,CVCL_1797
AAAS,8.20650844711889,8.29882494029738,7.78711761258159,7.95503559944692,8.08401037144384,7.50818111539899,8.40314920270457,8.25479317197651,8.10533586890303,7.99341232828184,8.29600922003109,7.52410127642556,7.83419643921563,8.18049228008778,8.44894039348809,7.84394331898553,7.97784252045987,8.02669289746062,8.11671992537805,8.20044817997545,7.95617700905695,8.01135598897842,8.3370634831399,7.5746250252368,8.3621124561619,7.26593764871646,7.95753522403761,8.51753254071391,7.92197594598984,7.61817479534911,7.95795455948137,7.87802231047588,7.80627689773919,8.24135610861651,8.32695185766796,8.26562129026754,8.00900643662225,7.33961940585646
AACS,6.38068505693633,7.14848174881623,7.32948904496529,7.65100341726746,8.0740280679995,7.68416321013369,6.72508444919285,8.46148644168016,7.96552387479268,7.497442266003,7.10199714793532,7.48464420670604,2.97991776112119,7.65873189043731,7.41940571417041,7.39469746990045,7.87622713157137,7.17284624348933,7.42946664470355,7.23793104503781,6.43814030035027,8.18428102168644,7.87100569894289,7.94125959205761,8.97015584350389,8.02984973033977,6.83622586858218,7.42358058611617,7.67582608371863,6.63247836005228,8.08518258046821,7.36338565537886,7.36210086868708,7.15905958418031,7.4539660080243,7.67065054538118,7.73563034847944,8.17522495684741
AACSP1,0.631758237536994,0,2.39624944818684,3.23628364497008,3.12609668245467,1.10967250923102,2.07111774829824,0.677157051827712,0.643013962741503,0.908186993965737,1.50381462399283,0,0,2.07570916873314,0.6946628542866,1.6644259688019,1.18912181515669,1.59238932779768,0,1.24479463084487,0.78657728853081,0.748497739392974,1.08659167208766,1.62993437374504,5.28005891506875,1.2967755433144,1.49957201029948,3.26495660760763,1.20351934421593,2.97333212639121,0.797268897652052,3.90448436750582,1.91244365578335,0.56261833729206,0.626069935904633,5.8430379722901,5.47033666288516,0.644675239632673
AADAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57788402655816,0,0,0,0,0,0,0,0,0,0,0
AADAT,0,6.38157111579273,7.04103330625754,6.12955411959993,5.3119580667992,0,0.624177926722566,0,0,0.553834112542915,6.47540349275273,0,0,0,0.6946628542866,5.67015053693724,0,0,0,5.31270388507719,0.78657728853081,0.748497739392974,1.594995735331,0,0,0.634367023114321,5.55490761238727,5.02937100753558,0,0.80519461285501,1.53867485856765,5.56664017377687,5.25936223015657,0.92049178122803,4.15352040176743,0.823368557815354,0,0
AAGAB,8.80159877975546,8.59680567169224,7.99789913738983,8.21160086576758,8.13359238836089,8.21902274439597,7.99818461371795,8.55280475927077,7.11093508299578,8.25679365906456,8.74222046384452,8.49687255038851,8.17060839244139,8.41941312893891,8.30106996192869,7.40321410314435,8.34395387116414,7.89472943574155,8.4001868578828,8.49313930540393,8.42000503334391,8.00579917977259,8.11960797125498,8.658213546576,8.24316559079793,8.36490943653869,8.45744331404035,8.69142059393879,8.64760294373335,8.09466078871068,8.25953175829337,7.90748567804569,8.01950157107692,8.55194488278913,8.88094460427093,8.30399722308634,8.00781422736124,9.05468485483098
AAK1,6.6268012449838,6.22419909946433,6.27807782246854,6.45172662745862,7.49483352082077,6.39663951854936,7.57836680294549,6.80405436821662,5.90370706523721,6.34821475721765,6.13132404848561,6.71434127731089,7.03213805734818,6.2063419548826,6.33984943174928,6.01090141637999,6.24848427219677,5.52780353859924,6.74062356745885,6.33623535100483,6.60993935359229,6.90562380505849,5.92999708996106,7.193345331552,6.50552876947785,6.92726599084056,6.96247134183047,6.02534069124075,7.53054753142576,5.55899001909948,6.69793356068456,6.87805596515927,5.7417119797493,7.60023670598925,6.44325219946744,6.08251812817048,6.87961111415735,6.3010174239372
AAMDC,6.3473048895979,6.31091740654009,5.2312504239745,4.88222026593338,5.00232245813946,6.05913865079429,5.76273082413633,5.17194659853066,5.30474468814846,5.55485359965286,5.61279147626788,5.74439266091927,4.60553859130914,5.12565730723745,5.726604271675,6.45167042367227,5.87011282845948,6.14899643065288,5.92125819863784,5.78085758587319,5.46124403005843,5.58801048918409,5.81969810455775,4.94535233640162,5.12206542588383,5.77352544238226,4.31675639902722,6.16614978796049,5.26463299855727,5.56374495165741,4.38534135568478,5.4863314286914,5.76005887787041,4.86286665633572,5.94813410575584,5.80526661796722,5.58092043089632,5.34345645634837
AAMP,6.94912872763612,7.69584856432404,6.97792874713347,7.34109686144261,7.12201861313476,7.23909883497009,7.4243752151205,7.41261232132946,7.28671786173105,7.46491706036873,7.50949061680743,7.50507300286512,6.65717092473223,7.26352335730388,7.27333983502778,7.61942746222837,7.51200536656726,7.73926176903923,7.72148577184344,7.40651370871636,7.94691314605219,7.28473814576397,7.43316673469111,7.51159406784491,7.41661781078739,7.160929907286,6.61545055818058,7.71407031811316,6.94568752137468,7.36960261556721,7.48585472438061,7.25861248642965,7.44185989828679,7.7231155399444,7.21419800350563,7.22529583773293,7.29937561505207,7.12395828255518
AANAT,1.29273732774127,1.7317675678183,1.31435231857798,2.58169321952371,2.2538688982189,1.62269557309566,1.28097058378705,1.36221225296583,1.70675101637746,2.55245471404613,1.50381462399283,2.12219813637295,2.42280149308773,2.17945329416975,1.38856701110438,1.8489743588408,2.31617071297337,2.43722777471094,1.41920314890788,0.97386043684133,2.10110596001307,2.03900133767654,3.24071266960115,1.11572171433856,0.743768985694365,4.11474030288124,0.625907864086983,1.19058287613787,0.772841091016563,1.97208725580372,1.23516388975679,2.00446228314631,1.57823770227418,1.39154292096561,1.49984260320783,1.57577422176506,1.02674773901923,1.03344647089214
