"","P5","P7","P9","P10","P16","P17","P18","P26","P28","P29"
"ENSG00000000003.15",7.76545171837733,8.91342865372715,9.77177795706629,9.27303288707459,9.77239396658709,7.82453546583388,8.59111428064651,9.14816778327579,8.4894853539308,8.64839823558234
"ENSG00000000005.6",3.20488660347618,-9.96578428466209,-9.96578428466209,2.90253610206411,3.52174580057715,-9.96578428466209,3.61853534953829,-9.96578428466209,3.6758130402184,1.94832879615515
"ENSG00000000419.14",10.4677655580473,11.1753470710435,10.7502760750698,11.1117971658894,10.456491503264,10.5249697987382,10.1054552752097,10.8952339957392,10.2959211217551,10.6104462087598
"ENSG00000000457.14",8.5481418099163,7.93698627682,8.98069407986035,8.73206927624813,8.69954144771688,8.67958428406844,8.67153276027475,9.84800652614503,9.01555293907688,8.45098969030199
"ENSG00000000460.17",9.4335509103479,7.94281533188376,8.77745950351914,8.640439023262,9.04675216446114,8.1464622878489,8.54915907459625,9.82379969209893,9.24555813372629,8.61329452318308
"ENSG00000000938.13",6.76545834877603,6.80880498883151,7.65630624080513,7.09217828070113,6.68352190348166,8.42357098911891,7.09091623979627,8.16368327099295,6.64149888391669,8.33683772292466
"ENSG00000000971.17",15.3537150993157,14.9215199740759,13.5752643480024,15.0745753466676,12.6311899221196,15.3383728211553,12.8800429125638,15.3402314532201,14.7056344264159,14.6112462228969
"ENSG00000001036.14",9.73455277349152,10.3048958303312,11.1739522794807,9.97782372854076,9.90877740384692,8.67958428406844,9.73943497433449,9.87888015766009,9.9908511287412,9.98248022346687
"ENSG00000001084.13",9.65429329845753,11.2803600189543,11.2011485812401,10.0584275775993,10.7335093272429,10.4785342577757,11.0843930145249,9.51765255623024,11.0797779514252,10.143697490598
"ENSG00000001167.15",9.60048032006587,8.36799589190595,9.61407269489162,8.29036504184224,9.09451249284859,8.61971297718062,9.48878461319945,8.00049370610348,10.0723062698326,9.25629631130682
